file,audio_filename,n_segments,mean_segment_duration_s,total_duration_s
bud_03gm-ma_hl_eo_ifg_akl.conc.ort.trs,bud_03gm-ma,159,4.827,767.520
bud_04gk-ma_hl_eo.trs,bud_04gk-ma,115,6.357,731.000
bud_04gk-ma_hl_eo_ifg_akl.conc.ort.trs,bud_04gk-ma,115,6.357,731.000
dalsbygda_01um-02uk_ifg_eo.trs,dalsbygda_01um-02uk,399,3.888,1551.360
dalsbygda_01um-02uk_ifg_eo_eo_akl.conc.ort.trs,dalsbygda_01um-02uk,399,3.888,1551.360
dalsbygda_01um-ifg_ifg_eo.trs,dalsbygda_01um-ifg,140,11.763,1646.880
dalsbygda_01um-ifg_ifg_eo_eo_akl.conc.ort.trs,dalsbygda_01um-ifg,140,11.763,1646.880
dalsbygda_02uk-ifg_ifg_eo.trs,dalsbygda_02uk-ifg,170,4.782,812.880
dalsbygda_02uk-ifg_ifg_eo_eo.conc.ort.trs,dalsbygda_02uk-ifg,170,4.782,812.880
dalsbygda_03gm-04gk_ifg_eo.trs,dalsbygda_03gm-04gk,384,4.289,1646.880
dalsbygda_03gm-04gk_ifg_eo_eo_akl.conc.ort.trs,dalsbygda_03gm-04gk,384,4.289,1646.880
dalsbygda_03gm-ifg_ifg_eo.trs,dalsbygda_03gm-ifg,170,5.507,936.160
dalsbygda_03gm-ifg_ifg_eo_eo_akl.conc.ort.trs,dalsbygda_03gm-ifg,170,5.507,936.160
dalsbygda_04gk-ifg_ifg_eo.trs,dalsbygda_04gk-ifg,249,3.859,960.880
dalsbygda_04gk-ifg_ifg_eo_eo_akl.conc.ort.trs,dalsbygda_04gk-ifg,249,3.859,960.880
darbu_01um-02uk_ifg_amg.trs,darbu_01um-02uk,448,3.673,1645.640
darbu_01um-02uk_ifg_amg_amg.conc.ort.trs,darbu_01um-02uk,448,3.673,1645.640
darbu_01um-sl_ifg_amg.trs,darbu_01um-sl,160,4.681,749.040
darbu_01um-sl_ifg_amg_amg.conc.ort.trs,darbu_01um-sl,160,4.681,749.040
darbu_02uk-ks_ifg_amg.trs,darbu_02uk-ks,124,6.012,745.520
darbu_02uk-ks_ifg_amg_amg.conc.ort.trs,darbu_02uk-ks,124,6.012,745.520
darbu_03gm-04gk_sb_lh.trs,darbu_03gm-04gk,481,2.579,1240.680
darbu_03gm-04gk_sb_lh_amg.conc.ort.trs,darbu_03gm-04gk,481,2.579,1240.680
darbu_03gm-sl_sb_lh.trs,darbu_03gm-sl,165,3.465,571.720
darbu_03gm-sl_sb_lh_amg.conc.ort.trs,darbu_03gm-sl,165,3.465,571.720
darbu_04gk-ks_sb_lh.trs,darbu_04gk-ks,226,3.877,876.280
darbu_04gk-ks_sb_lh_amg.conc.ort.trs,darbu_04gk-ks,226,3.877,876.280
drevsjoe_01um-02uk_lh_as.trs,drevsjoe_01um-02uk,332,3.401,1129.000
drevsjoe_01um-02uk_lh_as_sl_akl.conc.ort.trs,drevsjoe_01um-02uk,332,3.401,1129.000
drevsjoe_01um-ms_amg_as.trs,drevsjoe_01um-ms,124,6.597,818.000
drevsjoe_01um-ms_amg_as_sl_akl.conc.ort.trs,drevsjoe_01um-ms,124,6.597,818.000
drevsjoe_02uk-ms_lh_as.trs,drevsjoe_02uk-ms,72,6.481,466.600
drevsjoe_02uk-ms_lh_as_sl_akl.conc.ort.trs,drevsjoe_02uk-ms,72,6.481,466.600
drevsjoe_03gm-04gk_mi_as.trs,drevsjoe_03gm-04gk,253,4.747,1201.080
drevsjoe_03gm-04gk_mi_as_sl_akl.conc.ort.trs,drevsjoe_03gm-04gk,253,4.747,1201.080
drevsjoe_03gm-ms_lh_sl_as.trs,drevsjoe_03gm-ms,110,7.809,859.000
drevsjoe_03gm-ms_lh_sl_as_sl_akl.conc.ort.trs,drevsjoe_03gm-ms,110,7.809,859.000
drevsjoe_04gk-ms_as_sl_as.trs,drevsjoe_04gk-ms,83,10.691,887.360
drevsjoe_04gk-ms_as_sl_as_sl_akl.conc.ort.trs,drevsjoe_04gk-ms,83,10.691,887.360
eidfjord_01um-02uk_amg_sb_lh.trs,eidfjord_01um-02uk,388,3.741,1451.600
eidfjord_01um-02uk_amg_sb_lh_amg.conc.ort.trs,eidfjord_01um-02uk,388,3.741,1451.600
eidfjord_01um-sl_amg_sb_lh.trs,eidfjord_01um-sl,98,5.894,577.640
eidfjord_01um-sl_amg_sb_lh_amg.conc.ort.trs,eidfjord_01um-sl,98,5.894,577.640
eidfjord_02uk-mi_amg_sb_lh.trs,eidfjord_02uk-mi,166,5.380,893.120
eidfjord_02uk-mi_amg_sb_lh_amg.conc.ort.trs,eidfjord_02uk-mi,166,5.380,893.120
eidfjord_03gm-04gk_sb_lh.trs,eidfjord_04gk-mi,530,3.375,1788.960
eidfjord_03gm-04gk_sb_lh_amg_eo.conc.ort.trs,eidfjord_03gm-04gk,530,3.375,1788.960
eidfjord_03gm-sl_sb_amg.trs,eidfjord_03gm-sl,108,6.544,706.760
eidfjord_03gm-sl_sb_amg_amg_eo.conc.ort.trs,eidfjord_03gm-sl,108,6.544,706.760
eidfjord_04gk-mi_sb_lh.trs,eidfjord_04gk-mi,128,6.302,806.600
eidfjord_04gk-mi_sb_lh_amg_eo.conc.ort.trs,eidfjord_04gk-mi,128,6.302,806.600
enebakk_01um-02uk_kk_eo.trs,enebakk_01um-02uk,359,4.045,1452.000
enebakk_01um-02uk_kk_eo_eo_akl.conc.ort.trs,enebakk_01um-02uk,359,4.045,1452.000
enebakk_01um-ifg_kk_eo.trs,enebakk_01um-ifg,130,5.555,722.120
enebakk_01um-ifg_kk_eo_eo_akl.conc.ort.trs,enebakk_01um-ifg,130,5.555,722.120
enebakk_02uk-ifg_kk_eo.trs,enebakk_02uk-ifg,137,5.463,748.400
enebakk_02uk-ifg_kk_eo_eo_akl.conc.ort.trs,enebakk_02uk-ifg,137,5.463,748.400
enebakk_03gm-04gk_ifg_sb.trs,enebakk_03gm-04gk,498,4.125,2054.320
